[2025-05-04 22:18:57,734] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:19:02,685] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:19:02,695] INFO - 🧹 Cleaning text...
[2025-05-04 22:19:02,700] INFO - 🔁 Loading data...
[2025-05-04 22:19:02,701] ERROR - ❌ Failed to load required files: [Errno 2] No such file or directory: 'df_cleaned.pkl'
[2025-05-04 22:19:06,217] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:19:06,976] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:19:06,979] INFO - 🧹 Cleaning text...
[2025-05-04 22:19:08,123] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:19:08,843] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:19:08,848] INFO - 🧹 Cleaning text...
[2025-05-04 22:21:32,747] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:21:33,465] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:21:33,468] INFO - 🧹 Cleaning text...
[2025-05-04 22:21:39,279] INFO - ✅ Text cleaned.
[2025-05-04 22:21:39,279] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:21:40,078] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:21:40,078] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:21:43,336] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:21:44,550] INFO - 💾 Data saved to disk.
[2025-05-04 22:21:44,551] INFO - ✅ Preprocessing complete.
[2025-05-04 22:21:47,731] INFO - 🔁 Loading data...
[2025-05-04 22:21:48,164] INFO - ✅ Data loaded successfully.
[2025-05-04 22:21:48,543] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:21:49,270] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:21:49,273] INFO - 🧹 Cleaning text...
[2025-05-04 22:21:53,662] INFO - 🔁 Loading data...
[2025-05-04 22:21:55,147] INFO - ✅ Text cleaned.
[2025-05-04 22:21:55,147] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:21:56,020] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:21:56,155] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:21:56,155] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:21:57,408] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:21:57,625] INFO - 🧹 Cleaning text...
[2025-05-04 22:22:02,845] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:22:04,296] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:22:07,673] INFO - ✅ Text cleaned.
[2025-05-04 22:22:07,673] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:22:08,448] ERROR - ❌ Failed to load required files: EOF: reading array data, expected 262144 bytes got 7952
[2025-05-04 22:22:08,930] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:22:08,931] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:22:09,950] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:22:09,954] INFO - 🧹 Cleaning text...
[2025-05-04 22:22:10,114] INFO - 💾 Data saved to disk.
[2025-05-04 22:22:10,130] INFO - ✅ Preprocessing complete.
[2025-05-04 22:22:13,920] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:22:18,452] INFO - ✅ Text cleaned.
[2025-05-04 22:22:18,452] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:22:19,928] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:22:19,928] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:22:19,999] INFO - 💾 Data saved to disk.
[2025-05-04 22:22:19,999] INFO - ✅ Preprocessing complete.
[2025-05-04 22:22:24,691] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:22:26,030] INFO - 💾 Data saved to disk.
[2025-05-04 22:22:26,030] INFO - ✅ Preprocessing complete.
[2025-05-04 22:25:59,755] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:26:00,445] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:26:00,448] INFO - 🧹 Cleaning text...
[2025-05-04 22:26:03,515] INFO - 🔁 Loading data...
[2025-05-04 22:26:06,578] INFO - ✅ Text cleaned.
[2025-05-04 22:26:06,579] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:26:07,477] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:26:07,477] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:26:07,860] INFO - ✅ Data loaded successfully.
[2025-05-04 22:26:10,678] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:26:11,393] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:26:12,230] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:26:12,233] INFO - 🧹 Cleaning text...
[2025-05-04 22:26:12,304] INFO - 💾 Data saved to disk.
[2025-05-04 22:26:12,352] INFO - ✅ Preprocessing complete.
[2025-05-04 22:26:19,160] INFO - ✅ Text cleaned.
[2025-05-04 22:26:19,161] INFO - 🔁 Loading data...
[2025-05-04 22:26:19,161] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:26:20,197] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:26:20,198] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:26:20,692] INFO - ✅ Data loaded successfully.
[2025-05-04 22:26:23,966] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:26:25,254] INFO - 💾 Data saved to disk.
[2025-05-04 22:26:25,255] INFO - ✅ Preprocessing complete.
[2025-05-04 22:26:25,893] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:26:26,718] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:26:26,721] INFO - 🧹 Cleaning text...
[2025-05-04 22:26:33,842] INFO - ✅ Text cleaned.
[2025-05-04 22:26:33,842] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:26:34,862] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:26:34,862] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:26:38,455] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:26:39,146] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:26:39,535] INFO - 💾 Data saved to disk.
[2025-05-04 22:26:39,535] INFO - ✅ Preprocessing complete.
[2025-05-04 22:26:40,252] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:26:40,256] INFO - 🧹 Cleaning text...
[2025-05-04 22:26:47,219] INFO - ✅ Text cleaned.
[2025-05-04 22:26:47,219] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:26:48,129] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:26:48,130] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:26:51,568] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:26:52,771] INFO - 💾 Data saved to disk.
[2025-05-04 22:26:52,771] INFO - ✅ Preprocessing complete.
[2025-05-04 22:27:01,242] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:27:01,975] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:27:01,978] INFO - 🧹 Cleaning text...
[2025-05-04 22:27:02,802] INFO - 🚀 Starting preprocessing...
